sku,weight,product_online,meta_title,meta_keywords,meta_description,created_at,updated_at,country_of_manufacture,additional_attributes
CORK490251-SAMPLE,1,2,,,,"10/16/14, 3:22 PM","2/22/21, 5:46 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
CORK490250-SAMPLE,1,2,,,,"10/16/14, 3:24 PM","3/18/21, 4:09 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
CORK490247-SAMPLE,1,2,,,,"10/16/14, 3:26 PM","3/18/21, 4:15 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
CORK49033-SAMPLE,1,2,,,,"10/16/14, 3:28 PM","3/18/21, 4:08 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
FSKY3413-HS5C-SAMPLE,1,2,,,,"10/16/14, 3:32 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
CORK490334,40,2,Amsterdam Cinnamon Cork Flooring | Prefinished Engineered Cork Floors | Ipocork,,,"10/17/14, 11:24 AM","7/9/20, 4:11 AM",,"am_shipping_type=Engineered Wood,color=Dark,connection=Click Lock,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Floating,is_recurring=No,length=Uniform 35 5/8"",manufacturer=Ipocork,mico_carton_min=1,mico_carton_unit=23,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_rating=60,popularity_by_reviews=2,popularity_by_sells=1,sample_allowed=Yes,sample_sku=CORK490334-SAMPLE,stain=Cinnamon,structure=Engineered HDF,texture=Smooth,thickness=7/16"",waste_percent=5,wear_layer=3 mm,width=11-5/8"",wood=Cork"
CORK490334-SAMPLE,1,2,,,,"10/17/14, 11:28 AM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,creareseo_discontinued=301 Redirect to Category,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=11-5/8"""
CORK490253,40,1,Amsterdam Coffee Cork Flooring | Prefinished Engineered Cork Floors | Ipocork,,,"10/17/14, 1:03 PM","2/22/22, 11:20 AM",,"am_shipping_type=Engineered Wood,color=Medium,connection=Click Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Floating,is_recurring=No,length=Uniform 35 5/8"",manufacturer=Ipocork,mico_carton_min=1,mico_carton_unit=23,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_rating=60,popularity_by_reviews=2,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_sku=CORK490253-SAMPLE,sample_title_type=0,stain=Coffee,structure=Engineered HDF,texture=Smooth,thickness=7/16"",waste_percent=5,wear_layer=3 mm,width=11-5/8"",wood=Cork"
CORK490253-SAMPLE,1,2,,,,"10/17/14, 1:13 PM","3/18/21, 4:13 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
CORK490249 ,40,2,Amsterdam Natural Cork Flooring | Prefinished Engineered Cork Floors | Ipocork,,,"10/17/14, 1:14 PM","7/9/20, 2:38 AM",,"am_shipping_type=Engineered Wood,color=Light,connection=Click Lock,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Floating,is_recurring=No,length=Uniform 35 5/8"",manufacturer=Ipocork,mico_carton_min=1,mico_carton_unit=23,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_rating=60,popularity_by_reviews=2,sample_sku=CORK490249-SAMPLE,stain=Natural,structure=Engineered HDF,texture=Smooth,thickness=7/16"",waste_percent=5,wear_layer=3 mm,width=11-5/8"",wood=Cork"
CORK490249-SAMPLE,1,2,,,,"10/17/14, 1:16 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,creareseo_discontinued=301 Redirect to Category,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=11-5/8"""
CORK490480,40,1,Amsterdam Driftwood Cork Flooring | Prefinished Engineered Cork Floors | Ipocork,,,"10/17/14, 1:18 PM","2/22/22, 11:21 AM",,"am_shipping_type=Engineered Wood,color=Light,connection=Click Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Floating,is_recurring=No,length=Uniform 35 5/8"",manufacturer=Ipocork,mico_carton_min=1,mico_carton_unit=23,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_rating=60,popularity_by_reviews=2,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_sku=CORK490480-S,sample_title_type=0,stain=Driftwood,structure=Engineered HDF,texture=Smooth,thickness=7/16"",waste_percent=5,wear_layer=3 mm,width=11-5/8"",wood=Cork"
CORK490480-S,1,2,,,,"10/17/14, 1:26 PM","3/18/21, 4:13 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
CORK490481,40,1,Amsterdam Slate Grey Cork Flooring | Prefinished Engineered Cork Floors | Ipocork,,,"10/17/14, 1:27 PM","2/22/22, 11:21 AM",,"am_shipping_type=Engineered Wood,color=Dark,connection=Click Lock,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Floating,is_recurring=No,length=Uniform 35 5/8"",manufacturer=Ipocork,mico_carton_min=1,mico_carton_unit=23,mico_carton_unit_suff=Square Feet,no_basement_installation=No,popularity_by_rating=60,popularity_by_reviews=2,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_sku=CORK490481-S,sample_title_type=0,stain=Slate Grey,structure=Engineered HDF,texture=Smooth,thickness=7/16"",waste_percent=5,wear_layer=3 mm,width=11-5/8"",wood=Cork"
CORK490481-S,1,2,,,,"10/17/14, 1:30 PM","2/22/21, 5:36 PM",,"am_shipping_type=Wood Sample,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,waste_percent=10.00,width=11-5/8"""
FETK3402-N5O-SAMPLE,1,2,,,,"10/17/14, 1:49 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FETK3403-N5OHS-SAMPLE,1,2,,,,"10/17/14, 4:46 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,creareseo_discontinued=301 Redirect to Category,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FEHARO525030-SAMPLE,1,2,,,,"10/20/14, 11:46 AM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FEHARO524446-SAMPLE,1,2,,,,"10/20/14, 1:39 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
ACCWOCARF,,2,Woca Oil Refresher | Floor Care | Unique Wood Floors,,,"10/24/14, 1:48 PM","8/27/18, 1:57 PM",,"am_shipping_type=Standard,ebizmarts_mark_visited=No,finish=Oil Finish,popularity_by_sells=1"
ACCWOCA511210A,3,2,Woca Oil Refresher | Floor Care | Unique Wood Floors,,,"10/24/14, 2:00 PM","8/2/18, 4:31 PM",,"am_shipping_type=Standard,ebizmarts_mark_visited=No,finish=Oil Finish,floorcare_size=1 Liter,is_recurring=No,popularity_by_sells=1,type=Natural"
ACCWOCA511225A,3,2,Woca Oil Refresher | Floor Care | Unique Wood Floors,,,"10/24/14, 2:06 PM","4/16/18, 4:25 PM",,"am_shipping_type=Standard,ebizmarts_mark_visited=No,finish=Oil Finish,floorcare_size=2.5 Liter,is_recurring=No,popularity_by_sells=1,type=Natural"
ACCWOCAWRF,,2,Woca Oil Refresher White | Floor Care | Unique Wood Floors,,,"10/24/14, 3:23 PM","9/1/18, 1:49 PM",,"am_shipping_type=Standard,coverage=1600-2150 sf/L,creareseo_discontinued=301 Redirect to Category,ebizmarts_mark_visited=No,finish=Oil Finish,popularity_by_sells=1,type=White"
FETK3402-BK4-SAMPLE,1,2,,,,"10/29/14, 4:52 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FDSSWBS80SL-SWBCL,50,2,"Strandwoven Bamboo Carmel Solid Flooring | Prefinished Bamboo Floors, Solid Wood Flooring | Unique Wood Floors",,,"4/11/14, 4:41 PM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Click Lock,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23.9,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Floating / Glue Down,is_recurring=No,jankahardness=3014 psi,length=Random to 6',mico_carton_min=1,mico_carton_unit=23.9,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,sample_allowed=Yes,sample_sku=FDSSWBS80SL-SWBCl-SAMPLE,stain=Caramel,structure=Solid,texture=Smooth,thickness=1/2"",waste_percent=5,width=4-3/4"",wood=Bamboo"
FDSSWBS80SL-SWBCl-SAMPLE,1,2,,,,"11/4/14, 3:46 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,creareseo_discontinued=301 Redirect to Category,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
TLEXFL4x12-AM,5,1,Vent Register Flush Mount Prefinished | Vent Registers | Elegance Plyquet,,,"11/7/14, 11:20 AM","4/9/21, 3:21 PM",,"am_shipping_type=Standard,dc_box_calculator_allow=0,dimensions=4"" x 12"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Amendoim,wood=Amendoim"
AFVENT34FL412-BZ,5,1,Acacia Bronze Flush Vent | Unique Wood Floors,,,"11/13/14, 11:10 AM","7/24/20, 5:24 PM",,"am_shipping_type=Standard,dc_box_calculator_allow=0,dimensions=3/4"" x 4"" x 12"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Acacia Bronze,wood=Acacia Confusa"
ACC5008BONA32,2,1,Bona Professional Cleaner | Floorcare | Unique Wood Floors,,,"11/18/14, 2:05 PM","10/24/18, 10:36 AM",,"am_shipping_type=Standard,ebizmarts_mark_visited=No,finish=Polyurethane with Aluminum Oxide,floorcare_size=32oz,is_recurring=No,popularity_by_sells=1,type=Natural"
ACC5007BONA18KIT,2,1,"Bona Pro Series 18"" Hardwood Floor Care System | Floorcare | Unique Wood Floors",,,"11/19/14, 12:48 PM","10/24/18, 3:02 PM",,"am_shipping_type=Standard,ebizmarts_mark_visited=No,finish=Polyurethane with Aluminum Oxide,floorcare_size=32oz,is_recurring=No,popularity_by_sells=1"
ACC5004AQB,10,1,"Aquabar ""B"" Paper Underlayment | Wood Floor Underlayment | Unique Wood Floors",,,"11/19/14, 1:05 PM","5/19/22, 11:10 AM",,"am_shipping_type=Underlayment,coverage=500 square feet,dc_box_calculator_allow=0,ebizmarts_mark_visited=No,is_recurring=No,manufacturer=All Global,moisture_barrier=Yes,popularity_by_sells=1,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,sound_deadening=No "
VTVent-FM4X12-AL,4,1,Vintage Alaska Flush Vent | Unique Wood Floors,,,"11/19/14, 3:33 PM","7/23/20, 3:04 PM",,"am_shipping_type=Standard,dc_box_calculator_allow=0,dimensions=9/16"" x 4"" x 12"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Vintage,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,wood=White Oak"
VENT916FL-412WN,4,1,Vent Register Flush Mount Prefinished | Vent Registers | Elegance Plyquet,,,"11/19/14, 3:48 PM","4/9/21, 4:06 PM",,"dc_box_calculator_allow=0,dimensions=9/16"" x 4"" x 12"",ebizmarts_mark_visited=No,is_recurring=No,pr_cartreservation_enable=Disabled,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Walnut"
VENTFL4x12-Maple,4,1,"Maple Flush Vent 1/2"" | Unique Wood Floors",,,"11/19/14, 3:49 PM","4/9/21, 3:46 PM",,"am_shipping_type=Standard,dc_box_calculator_allow=0,dimensions=4"" x 12"",ebizmarts_mark_visited=No,is_recurring=No,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,wood=Maple"
TLEXTM78-AM,3,1,T-Mold | Transition Molding | Elegance Plyquet,,,"11/19/14, 4:05 PM","4/9/21, 3:21 PM",,"am_shipping_type=Standard,dc_box_calculator_allow=0,dimensions=78"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Amendoim,wood=Amendoim"
TLEXTM-Tigerwood,5,1,Tigerwood T-Mold | Unique Wood Floors,,,"11/19/14, 4:09 PM","4/9/21, 4:02 PM",,"am_shipping_type=Moldings,coverage=6.5 LF,dc_box_calculator_allow=0,dimensions=78"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,popularity_by_sells=1,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Tigerwood,wood=Tigerwood"
TLEXTM78-MC,3,1,Brazilian Pecan T-Mold | Unique Wood Floors,,,"11/19/14, 4:16 PM","4/9/21, 3:22 PM",,"am_shipping_type=Moldings,dc_box_calculator_allow=0,dimensions=78"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,popularity_by_sells=1,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Brazilian Pecan,wood=Macchiato Pecan"
VTTM78,3,1,Vintage Alaska T-Mold | Unique Wood Floors,,,"11/19/14, 4:25 PM","7/24/20, 5:34 PM",,"am_shipping_type=Moldings,coverage=6.5 LF,dc_box_calculator_allow=0,dimensions=78"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Vintage,popularity_by_sells=1,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,wood=White Oak"
TLEXSTN48-AM,5,1,Stair Nose Flush Mount | Transition Molding | Elegance Plyquet,,,"11/19/14, 4:32 PM","4/9/21, 3:20 PM",,"am_shipping_type=Moldings,dc_box_calculator_allow=0,dimensions=48"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Amendoim,wood=Amendoim"
StN48-Maple,5,1,Stair Nose Flush Mount | Transition Molding | Elegance Plyquet,,,"11/19/14, 4:59 PM","7/24/20, 4:15 PM",,"am_shipping_type=Moldings,coverage=4 LF,dc_box_calculator_allow=0,dimensions=48"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,wood=Maple"
TLEXStN48,5,1,Brazilian Pecan Stair Nose | Unique Wood Floors,,,"11/19/14, 5:01 PM","4/9/21, 3:21 PM",,"am_shipping_type=Moldings,dc_box_calculator_allow=0,dimensions=48"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Elegance Plyquet,popularity_by_sells=1,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,type_stain=Brazilian Pecan,wood=Macchiato Pecan"
VTSTN3-48,5,1, Vintage Alaska Flush Stair Nose | Unique Wood Floors,,,"11/19/14, 5:02 PM","7/23/20, 3:04 PM",,"am_shipping_type=Moldings,dc_box_calculator_allow=0,dimensions=48"",ebizmarts_mark_visited=No,is_recurring=No,manufacturer=Vintage,popularity_by_sells=1,pr_cartreservation_enable=Inherited,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_title_type=0,wood=White Oak"
FSNA3458-N5,70,2,"Amendoim (Brazilian Oak) Plank Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"11/26/14, 11:05 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=23.33,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1912 psi,length=Random to 7',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=23.33,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Oak,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSNA3458-N5-SAMPLE,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=5"",wood=Amendoim"
FSNA3458-N5-SAMPLE,1,1,,,,"11/26/14, 11:22 AM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=No,greenproduct=No,is_recurring=No,no_basement_installation=No,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FBR3CHM-5,50,2,Bamboo Carbonized Horizontal | Prefinished Bamboo Floors | Elegance Plyquet,,,"11/28/14, 11:44 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Light,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=19.8,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=Yes,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1180 psi,length=Random to 6',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=19.8,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FBR3CHM-5-SAMPLE,stain=Carbonized,structure=Solid,texture=Smooth,thickness=5/8"",waste_percent=5,width=4-3/4"",wood=Bamboo"
FBR4CVM-5-SAMPLE,1,1,,,,"11/28/14, 12:02 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FBR3CHM-5-SAMPLE,1,1,,,,"11/28/14, 12:04 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=1,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=5"""
FSEP3481-GR5SPC,70,2,Modern Collection Graphite High Gloss Hardwood Flooring – 67 SF,,,"1/12/14, 4:35 PM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.38,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1900 psi,length=Random to 5',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.38,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Pometia,sample_allowed=Yes,sample_sku=FSEP3481-GR5SPC-SAMPLE,stain=Graphite,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=5,width=5"",wood=Pometia"
FETK3402-N5O,40,2,Millennium Hickory Oiled Hand Scraped Hardwood Flooring,,Shop Millennium Hickory Oiled Hand Scraped hardwood flooring from Unique Wood Floors. Easy Online Ordering!,"12/12/14, 9:51 AM","7/9/20, 4:12 AM",,"am_shipping_type=Engineered Wood,color=Light,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=12.02,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Oil Finish,greenproduct=Yes,installation=Nail Down / Floating / Glue Down,is_recurring=No,jankahardness=1820 psi,length=Random to 7',manufacturer=Millennium,mico_carton_min=1,mico_carton_unit=12.02,mico_carton_unit_suff=Square Feet,no_basement_installation=No,othernames=Pecan,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FETK3402-N5O-SAMPLE,stain=Natural,structure=Solid-Engineered,texture=Scraped,thickness=3/4"",waste_percent=5.00,wear_layer=5 mm,width=5"",wood=Hickory"
FETK3403-N7OHS,40,2,"Millennium Walnut Hand Scraped Flooring | Hand Scraped Wood Floors, Prefinished Engineered Hardwood Floors | Unique Wood Floors",,,"12/17/14, 11:24 AM","7/9/20, 4:12 AM",,"am_shipping_type=Engineered Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,creareseo_discontinued_product=FETK3403-N425HS,dc_box_calculator_allow=1,dc_box_calculator_pack_size=17.04,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Oil Finish,greenproduct=Yes,installation=Nail Down / Floating / Glue Down,is_recurring=No,jankahardness=1010 psi,length=Random to 7',manufacturer=TEKA,mico_carton_min=1,mico_carton_unit=17.04,mico_carton_unit_suff=Square Feet,no_basement_installation=No,othernames=Black Walnut, American Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FETK3403-N7OHS-SAMPLE,stain=Natural,structure=Solid-Engineered,texture=Scraped,thickness=3/4"",waste_percent=5.00,wear_layer=5 mm,width=7"",wood=Walnut"
FSTL3452-N325R-SAMPLE,1,1,,,,"12/22/14, 5:27 PM","7/16/20, 11:37 AM",,"am_shipping_type=Wood Sample,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,greenproduct=No,is_recurring=No,no_basement_installation=No,popularity_by_sells=2,pr_cartreservation_enable=Disabled,waste_percent=10.00,width=3-1/4"""
TKAT20130071,40,1,Vintage Alaska Flooring | Prefinished Engineered Hardwood Floors | TEKA,,,"1/27/15, 10:16 AM","10/31/22, 11:12 AM",,"am_shipping_type=Engineered Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.02,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Oil Finish,greenproduct=Yes,installation=Nail Down / Floating / Glue Down,is_recurring=No,jankahardness=1360 psi,length=Random to 7',manufacturer=Vintage,mico_carton_min=1,mico_carton_unit=22.02,mico_carton_unit_suff=Square Feet,no_basement_installation=No,othernames=French Oak,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=No,sample_method=Method 1,sample_price=0,sample_sku=TKAT20130071-SAMPLE,sample_title_type=0,stain=Fumed, Grey Lye,structure=Engineered Ply,texture=Scraped,thickness=9/16"",waste_percent=5,wear_layer=3.4 mm,width=6"",wood=White Oak"
EP3405-SM475,60,2,"European Oak Smoked Oiled Hardwood Flooring | Oil Finished Wood Floors, Prefinished Solid Hardwood Floors | Unique Wood Floors",,,"2/27/15, 10:16 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=21.7,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Oil Finish,greenproduct=Yes,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1360 psi,length=Random to 5',manufacturer=Boardwalk,mico_carton_min=1,mico_carton_unit=21.7,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=European Oak,popularity_by_sells=1,sample_allowed=Yes,sample_sku=EP3405-SM475-SAMPLE,stain=Smoked,structure=Solid,texture=Wire Brushed,thickness=11/16"",waste_percent=5.00,width=4-3/4"",wood=White Oak"
