sku,weight,product_online,meta_title,meta_keywords,meta_description,created_at,updated_at,country_of_manufacture,additional_attributes
FSEP3402-BZ358,70,1,Acacia Bronze Plank Hardwood Flooring | Unique Wood Floors,,"Shop Acacia Bronze Plank hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","8/9/14, 2:32 PM","5/23/22, 10:35 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.96,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Random to 4',manufacturer=True Acacia,mico_carton_min=1,mico_carton_unit=24.96,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSEP3402-BZ358-SAMPLE,sample_title_type=0,stain=Bronze,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Confusa"
FSEP3481-BG5,70,2,"Modern Collection Burgundy Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"9/13/14, 3:15 PM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.38,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1900 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.38,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Tuan,sample_allowed=Yes,sample_sku=FSEP3481-BG5-SAMPLE,stain=Burgundy,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=5,width=5"",wood=Pometia"
FSTL3451-N4,70,1,"Brazilian Cherry Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"9/15/14, 12:46 PM","10/8/22, 12:48 PM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=18.67,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2690,length=Random to 7',manufacturer=Patagonia,mico_carton_min=1,mico_carton_unit=18.67,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Jatoba,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_sku=FSTL3451-N4-SAMPLE,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=4"",wood=Brazilian Cherry"
FSEP3404-CP358,70,2,"Acacia Champagne Plank Hardwood Flooring | Acacia Mangium Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,The Acacia Champagne Plank wood floor is a walnut hardwood floor harvested in Asia from the beautiful Acacia Mangium species. Shop hardwood floors online.,"9/15/14, 12:54 PM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.96,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1750 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=24.96,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3404-CP358-SAMPLE,stain=Champagne,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Magium"
SOLTW314S,70,1,Triangulo Tigerwood | Prefinished Solid Hardwood Floors | Unique Wood Floors,,,"9/15/14, 1:02 PM","10/8/22, 12:48 PM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.75,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2160 psi,length=Random to 7',manufacturer=Patagonia,mico_carton_min=1,mico_carton_unit=22.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Koa,popularity_by_rating=0,popularity_by_reviews=1,popularity_by_sells=1,pr_cartreservation_enable=Inherited,radiant_heat=No,sample_allowed=Yes,sample_method=Method 1,sample_price=0,sample_title_type=0,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=3-1/4"",wood=Tigerwood"
FSTL3452-N325R ,70,2,Tigerwood Strip Hardwood Flooring | Prefinished Solid Hardwood Floors | Elegance Plyquet,,,"9/15/14, 1:13 PM","7/9/20, 2:38 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Product SKU,creareseo_discontinued_product=FSTL3452-N4,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.75,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1850,length=Random to 6',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,popularity_by_sells=1,sample_sku=FSTL3452-N325R-SAMPLE,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=10,width=3-1/4"",wood=Tigerwood"
FSTL3455-N325,70,2,"Ipe (Brazilian Walnut) Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,,"9/15/14, 1:48 PM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.75,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=3684 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.75,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Brazilian Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSTL3455-N325-SAMPLE,stain=Natural,structure=Solid,texture=Smooth,thickness=3/4"",waste_percent=5,width=3-1/4"",wood=Ipe"
FSEP3404-HS5MC,70,2,"Acacia (Asian Walnut) Mocha Hand Scraped Hardwood Flooring | Hand Scraped Wood Floors, Prefinished Solid Hardwood Floors | Unique Wood Floors",,Dark Acacia Mocha Hand Scraped hardwood floors bring both comfort and style into your home. Shop hand scraped wood floors online.,"9/16/14, 10:51 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Product SKU,creareseo_discontinued_product=FSEP3404-MC358,dc_box_calculator_allow=1,dc_box_calculator_pack_size=22.06,ebizmarts_mark_visited=No,fifty_year_warranty=Yes,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1750 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=22.06,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3404-HS5MC-SAMPLE,stain=Mocha,structure=Solid,texture=Scraped,thickness=11/16"",waste_percent=10,width=5"",wood=Acacia Magium"
FSEP3404-MC358,70,2,"Acacia (Asian Walnut) Mocha Plank Hardwood Flooring | Prefinished Solid Hardwood Floors, Elegance Plyquet Wood Flooring | Unique Wood Floors",,Our Acacia Mocha Plank wood flooring is certain to captivate visitors and is guaranteed to complement any home design. Shop Acacia wood flooring online.,"9/16/14, 10:56 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Dark,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=24.96,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=1750 psi,length=Random to 4',manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=24.96,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut,sample_allowed=Yes,sample_sku=FSEP3404-358MC-SAMPLE,stain=Mocha,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3-5/8"",wood=Acacia Magium"
FSEP3402-X3G,35,2,Acacia Golden Sagebrush Hardwood Flooring,,"Shop Acacia Golden Sagebrush hardwood flooring from Unique Wood Floors. Easy Online Ordering!
","9/16/14, 11:06 AM","7/9/20, 4:12 AM",,"am_shipping_type=Solid Wood,color=Medium,connection=Tongue & Groove,creareseo_discontinued=301 Redirect to Category,dc_box_calculator_allow=1,dc_box_calculator_pack_size=11.31,ebizmarts_mark_visited=No,fifty_year_warranty=No,finish=Polyurethane with Aluminum Oxide,greenproduct=No,installation=Nail Down / Glue Down,is_recurring=No,jankahardness=2300 psi,length=Uniform 17.72"",manufacturer=Elegance Plyquet,mico_carton_min=1,mico_carton_unit=11.31,mico_carton_unit_suff=Square Feet,no_basement_installation=Yes,othernames=Asian Walnut, Shittim,popularity_by_sells=1,sample_allowed=Yes,sample_sku=FSEP3402-X3G-SAMPLE,stain=Golden Sagebrush,structure=Solid,texture=Smooth,thickness=11/16"",waste_percent=10,width=3"",wood=Acacia Confusa"
